Well,Row,Column,Sample,OD450
A1,A,1,Std 01,0.037
A2,A,2,Std 09,0.037
A3,A,3,Std 17,0.037
A4,A,4,Std 25,0.037
A5,A,5,Std 33,0.036
A6,A,6,Std 41,0.036
A7,A,7,Std 49,0.036
A8,A,8,Std 57,0.035
A9,A,9,Std 65,0.037
A10,A,10,Std 73,0.035
A11,A,11,Std 81,0.035
A12,A,12,Std 89,0.038
B1,B,1,Std 02,0.037
B2,B,2,Std 10,0.037
B3,B,3,Std 18,0.037
B4,B,4,Std 26,0.038
B5,B,5,Std 34,0.036
B6,B,6,Std 42,0.036
B7,B,7,Std 50,0.035
B8,B,8,Std 58,0.038
B9,B,9,Std 66,0.038
B10,B,10,Std 74,0.037
B11,B,11,Std 82,0.035
B12,B,12,Std 90,0.035
C1,C,1,Std 03,0.037
C2,C,2,Std 11,0.037
C3,C,3,Std 19,0.038
C4,C,4,Std 27,0.037
C5,C,5,Std 35,0.222
C6,C,6,Std 43,0.226
C7,C,7,Std 51,0.222
C8,C,8,Std 59,0.221
C9,C,9,Std 67,0.035
C10,C,10,Std 75,0.169
C11,C,11,Std 83,0.034
C12,C,12,Std 91,0.038
D1,D,1,Std 04,0.038
D2,D,2,Std 12,0.037
D3,D,3,Std 20,0.037
D4,D,4,Std 28,0.037
D5,D,5,Std 36,0.203
D6,D,6,Std 44,0.295
D7,D,7,Std 52,0.155
D8,D,8,Std 60,0.219
D9,D,9,Std 68,0.217
D10,D,10,Std 76,0.175
D11,D,11,Std 84,0.035
D12,D,12,Std 92,0.037
E1,E,1,Std 05,0.038
E2,E,2,Std 13,0.038
E3,E,3,Std 21,0.038
E4,E,4,Std 29,0.039
E5,E,5,Std 37,1.074
E6,E,6,Std 45,0.656
E7,E,7,Std 53,0.591
E8,E,8,Std 61,0.698
E9,E,9,Std 69,0.036
E10,E,10,Std 77,0.135
E11,E,11,Std 85,0.037
E12,E,12,Std 93,0.037
F1,F,1,Std 06,0.037
F2,F,2,Std 14,0.039
F3,F,3,Std 22,0.038
F4,F,4,Std 30,0.038
F5,F,5,Std 38,0.608
F6,F,6,Std 46,0.890
F7,F,7,Std 54,0.675
F8,F,8,Std 62,0.830
F9,F,9,Std 70,0.035
F10,F,10,Std 78,0.035
F11,F,11,Std 86,0.037
F12,F,12,Std 94,0.036
G1,G,1,Std 07,0.038
G2,G,2,Std 15,0.037
G3,G,3,Std 23,0.038
G4,G,4,Std 31,0.038
G5,G,5,Std 39,0.710
G6,G,6,Std 47,0.992
G7,G,7,Std 55,1.022
G8,G,8,Std 63,1.293
G9,G,9,Std 71,0.036
G10,G,10,Std 79,0.035
G11,G,11,Std 87,0.035
G12,G,12,Std 95,0.036
H1,H,1,Std 08,0.038
H2,H,2,Std 16,0.038
H3,H,3,Std 24,0.038
H4,H,4,Std 32,0.040
H5,H,5,Std 40,0.038
H6,H,6,Std 48,0.038
H7,H,7,Std 56,0.038
H8,H,8,Std 64,0.035
H9,H,9,Std 72,0.036
H10,H,10,Std 80,0.035
H11,H,11,Std 88,0.037
H12,H,12,Std 96,0.035
