Day,Group,Subgroup,Weight,Temp
1,Model,Tail,28.6,35.8
1,Model,Head,26.4,35.6
1,Model,None,24.6,35.6
1,Control,Tail,25.2,35.8
1,Control,Head,23.4,36.4
1,Control,None,25.4,35.9
2,Model,Tail,28,35.5
2,Model,Head,28.4,35.9
2,Model,None,25.2,35.9
2,Control,Tail,28,35.6
2,Control,Head,26.2,36.2
2,Control,None,28.4,36.3
3,Model,Tail,26.8,35.3
3,Model,Head,26.2,35.4
3,Model,None,23,35.8
3,Control,Tail,27,36
3,Control,Head,25.5,36.2
3,Control,None,27.2,36.2
4,Model,Tail,26.8,36.4
4,Model,Head,26.6,35.8
4,Model,None,24.2,36.5
4,Control,Tail,28,36.1
4,Control,Head,26,36.4
4,Control,None,27.8,35.9
5,Model,Tail,25.6,34.8
5,Model,Head,25.2,35
5,Model,None,22.4,34.7
5,Control,Tail,27,34
5,Control,Head,26,34.7
5,Control,None,27.4,34.5
6,Model,Tail,24,35.2
6,Model,Head,26.6,36
6,Model,None,21.8,36.1
6,Control,Tail,28.6,nan
6,Control,Head,27,35.4
6,Control,None,28.8,34.7
7,Model,Tail,23.8,35.6
7,Model,Head,24,35.9
7,Model,None,20.8,35.9
7,Control,Tail,nan,nan
7,Control,Head,26.2,36
7,Control,None,27.4,35.7
8,Model,Tail,23,35.2
8,Model,Head,23.6,36.2
8,Model,None,22,36
8,Control,Tail,nan,nan
8,Control,Head,26.8,35.9
8,Control,None,29.6,35.9
