Well,Cq
C01,N/A
C02,N/A
C03,39.94
C04,26.55
C05,N/A
C06,N/A
C07,N/A
C08,N/A
C09,N/A
C10,N/A
C11,N/A
C12,N/A
D01,N/A
D02,N/A
D03,N/A
D04,N/A
D05,N/A
D06,26.84
D07,26.17
D08,3.92
D09,N/A
D10,N/A
D11,N/A
D12,N/A
E01,N/A
E02,N/A
E03,N/A
E04,N/A
E05,N/A
E06,25.49
E07,N/A
E08,N/A
E09,N/A
E10,N/A
E11,N/A
E12,N/A
F01,N/A
F02,N/A
F03,N/A
F04,N/A
F05,17.70
F06,N/A
F07,23.94
F08,N/A
F09,N/A
F10,N/A
F11,N/A
F12,11.84
G01,N/A
G02,N/A
G03,N/A
G04,N/A
G05,28.05
G06,28.22
G07,28.85
G08,32.99
G09,N/A
G10,N/A
G11,N/A
G12,N/A
H01,N/A
H02,N/A
H03,N/A
H04,24.41
H05,25.33
H06,23.99
H07,25.85
H08,N/A
H09,N/A
H10,N/A
H11,N/A
H12,26.96
