Group,Well,OD450,OD600,Delta_OD (450-600-Blank),PI (%)
Kit NC,A1,1.542,0.047,1.469,6.00%
Kit NC,A2,1.72,0.051,1.643,-5.20%
Kit NC,A3,1.928,0.046,1.856,-18.80%
Kit NC,B1,1.523,0.048,1.449,7.20%
Kit NC,C1,1.466,0.046,1.394,10.80%
Kit PC,A4,0.289,0.043,0.22,85.90%
Kit PC,A5,0.317,0.044,0.247,84.20%
Kit PC,D1,0.257,0.037,0.194,87.60%
Kit PC,E1,0.249,0.048,0.175,88.80%
Blank (Valid),H1,0.075,0.049,0,N/A
Blank (Contaminated),A6,1.985,0.044,1.915,N/A
Blank (Contaminated),A7,1.976,0.045,1.905,N/A
Blank (Contaminated),F1,1.202,0.045,1.131,N/A
Blank (Contaminated),G1,1.016,0.051,0.939,N/A
Positive H,B3,0.18,0.042,0.112,92.80%
Positive H,H12,0.278,0.046,0.206,86.80%
Positive M,B4,0.409,0.045,0.338,78.40%
Positive M,H11,0.39,0.045,0.319,79.60%
Positive L,B5,0.977,0.054,0.897,42.60%
Positive L,H10,0.664,0.045,0.593,62.00%
Sample G6,G6,1.148,0.047,1.075,31.20%
